score,darts_remaining,target_amount,target,target_text
70,3,30,T10,Treble Ten
71,1,39,T13,Treble Thirteen
71,2,39,T13,Treble Thirteen
71,3,39,T13,Treble Thirteen
72,1,48,T16,Treble Sixteen
72,2,48,T16,Treble Sixteen
72,3,48,T16,Treble Sixteen
73,1,57,T19,Treble Nineteen
73,2,57,T19,Treble Nineteen
73,3,57,T19,Treble Nineteen
74,1,42,T14,Treble Fourteen
74,2,42,T14,Treble Fourteen
74,3,42,T14,Treble Fourteen
75,1,51,T17,Treble Seventeen
75,2,51,T17,Treble Seventeen
75,3,51,T17,Treble Seventeen
76,1,48,T16,Treble Sixteen
76,2,48,T16,Treble Sixteen
76,3,48,T16,Treble Sixteen
77,1,57,T19,Treble Nineteen
77,2,57,T19,Treble Nineteen
77,3,57,T19,Treble Nineteen
78,1,54,T18,Treble Eighteen
78,2,54,T18,Treble Eighteen
78,3,54,T18,Treble Eighteen
79,1,57,T19,Treble Nineteen
79,2,57,T19,Treble Nineteen
79,3,57,T19,Treble Nineteen
80,1,60,T20,Treble Twenty
80,2,60,T20,Treble Twenty
80,3,60,T20,Treble Twenty
81,1,57,T19,Treble Nineteen
81,2,57,T19,Treble Nineteen
81,3,57,T19,Treble Nineteen
82,1,42,T14,Treble Fourteen
82,2,42,T14,Treble Fourteen
82,3,42,T14,Treble Fourteen
83,1,51,T17,Treble Seventeen
83,2,51,T17,Treble Seventeen
83,3,51,T17,Treble Seventeen
84,1,60,T20,Treble Twenty
84,2,60,T20,Treble Twenty
84,3,60,T20,Treble Twenty
85,1,45,T15,Treble Fifteen
85,2,45,T15,Treble Fifteen
85,3,45,T15,Treble Fifteen
86,1,54,T18,Treble Eighteen
86,2,54,T18,Treble Eighteen
86,3,54,T18,Treble Eighteen
87,1,51,T17,Treble Seventeen
87,2,51,T17,Treble Seventeen
87,3,51,T17,Treble Seventeen
88,1,60,T20,Treble Twenty
88,2,60,T20,Treble Twenty
88,3,60,T20,Treble Twenty
89,1,57,T19,Treble Nineteen
89,2,57,T19,Treble Nineteen
89,3,57,T19,Treble Nineteen
90,1,60,T20,Treble Twenty
90,2,60,T20,Treble Twenty
90,3,60,T20,Treble Twenty
91,1,51,T17,Treble Seventeen
